# Decay-constant lookup table. Do not edit by hand.
# metadata: {"app_version": "v2.0.0", "evaluation_mode": "reversal_endpoint", "grid": {"dose_per_kg": [250, 300, 350, 400, 450, 500, 550, 600], "ibw": [40, 55, 70, 85, 100, 115], "prime": [0, 5000, 10000], "time_on_cpb": [30, 60, 90, 120], "time_to_cpb": [5, 15, 25, 35]}, "k_search_bounds": [0.001, 0.03], "lo_hi_meaning": "k recalibrated at time on CPB -/+ 2 SD; a scenario range, not an uncertainty interval", "model": "meesters", "n_sim": 200, "population": "adult", "prime_timing": "lumped_t0", "seed": 20260912}
dose_per_kg,ibw,time_to_cpb,time_on_cpb,prime,mu,lo,hi
250,40,5,30,0,0.005452183662027074,0.004434814167383627,0.007240151884124463
250,40,5,30,5000,0.004327891696290096,0.0037432287319744415,0.005134768195771231
250,40,5,30,10000,0.003814108401390025,0.0034403846674848308,0.004252569546869441
250,40,5,60,0,0.004392499213150996,0.0038964814349129883,0.005364738484678104
250,40,5,60,5000,0.003764159788693847,0.003460119089280069,0.004342318673745015
250,40,5,60,10000,0.0034163445481680977,0.003224511795391287,0.003790921064542766
250,40,5,90,0,0.0038872258150183217,0.003619860658017417,0.00437801850115622
250,40,5,90,5000,0.00344379212646589,0.0032847101995130443,0.0037308164703180836
250,40,5,90,10000,0.0032355884160972584,0.003123847671573125,0.0034389275508844982
250,40,5,120,0,0.003619020554180183,0.003454558339631566,0.003885708711655741
250,40,5,120,5000,0.0032741651443866982,0.003178373565132379,0.0034278596149939413
250,40,5,120,10000,0.0031235715533610028,0.0030556925114018085,0.0032330405229813886
250,40,15,30,0,0.005000310807430254,0.004201822053715004,0.006367612601393366
250,40,15,30,5000,0.0039016288916861445,0.003507319631221997,0.004425592770912738
250,40,15,30,10000,0.0033186580224192513,0.0031495334782933337,0.003442755706804444
250,40,15,60,0,0.004204464401151453,0.0037967569603995807,0.005013727114917245
250,40,15,60,5000,0.0034901436062788178,0.003287849485037151,0.0038697522608585654
250,40,15,60,10000,0.003150551837405553,0.003047231993814041,0.003320875373394604
250,40,15,90,0,0.003784591380588457,0.0035586725398295016,0.004181475064687338
250,40,15,90,5000,0.003306707727182741,0.0031859550803268796,0.0035179728114410253
250,40,15,90,10000,0.003053924062590567,0.0029916179580333877,0.003160583103828849
250,40,15,120,0,0.0035416463060674542,0.0034033067858559593,0.0037566126026337848
250,40,15,120,5000,0.00316697443378906,0.0030950246060861947,0.003279508846656867
250,40,15,120,10000,0.0029854698505805324,0.002946534776409516,0.0030462152725584403
250,40,25,30,0,0.004641970737592546,0.004021847426677789,0.0056640022049817135
250,40,25,30,5000,0.0035338599541707553,0.003292559230889066,0.0038378431141558225
250,40,25,30,10000,0.0029964816691541414,0.002941547451617679,0.0029964816691541414
250,40,25,60,0,0.003992878029636195,0.003681028394856861,0.004577331901526343
250,40,25,60,5000,0.00330179116690731,0.0031647406842425967,0.0035438321276457193
250,40,25,60,10000,0.0029275637872224667,0.0028895331595619233,0.0029758835628751743
250,40,25,90,0,0.003690108009576649,0.0035001419859956038,0.004008907582182624
250,40,25,90,5000,0.0031622688078100326,0.0030815985512790286,0.003296603976132713
250,40,25,90,10000,0.0028948573354040416,0.002869477050185511,0.002935571258790116
250,40,25,120,0,0.0034930412303932233,0.0033702063411206744,0.0036788968450308383
250,40,25,120,5000,0.003068772143236157,0.00301767557980185,0.003146306165952874
250,40,25,120,10000,0.0028758068576629024,0.00285807864446971,0.002902446692575572
250,40,35,30,0,0.004378204791419161,0.0038905369445323907,0.005156753359244108
250,40,35,30,5000,0.0032676101919796446,0.0031262776689122917,0.0034452664622368085
250,40,35,30,10000,0.0027284332738417303,0.0026290124458015107,0.0027557491731092934
250,40,35,60,0,0.0038918073135943017,0.0036229185513241557,0.004378297304758187
250,40,35,60,5000,0.003128148541904749,0.003044129813284204,0.0032709108063926446
250,40,35,60,10000,0.0027886782891280606,0.0027800964660380824,0.0027886782891280606
250,40,35,90,0,0.00361595647002693,0.003452571928135439,0.003879663696544233
250,40,35,90,5000,0.003061472447109952,0.0030047782148310675,0.0031526955729433335
250,40,35,90,10000,0.00276360706610598,0.0027592156507734713,0.0027653784607907256
250,40,35,120,0,0.0034636535985668004,0.0033498514387722404,0.003633024548712741
250,40,35,120,5000,0.0029954992867340657,0.002958853416914725,0.0030498231340089685
250,40,35,120,10000,0.002769156362418087,0.0027682788451838377,0.0027696390055722718
250,55,5,30,0,0.005329708878370556,0.004366390744283861,0.007042691137958018
250,55,5,30,5000,0.004544401255915885,0.003868791340951565,0.005554915400666263
250,55,5,30,10000,0.004070033990718868,0.0035926882071656645,0.004629843789941441
250,55,5,60,0,0.004364281811851558,0.0038810734096646365,0.005330027974519281
250,55,5,60,5000,0.003881623363744871,0.0035429477612777573,0.0045394808785677735
250,55,5,60,10000,0.00357692370479425,0.003333355727700044,0.004050034304404029
250,55,5,90,0,0.0038871335125570034,0.003619932344394579,0.004375005756917647
250,55,5,90,5000,0.0035421546086757006,0.003356914445926292,0.0038816667260843847
250,55,5,90,10000,0.0033325071415046636,0.003198783028407899,0.0035747820096788323
250,55,5,120,0,0.003629953188986822,0.0034616547790072144,0.003904363709070584
250,55,5,120,5000,0.0033515319980613827,0.0032392411197508125,0.003533075031779792
250,55,5,120,10000,0.003199683154434504,0.0031169133691181542,0.003333392962869694
250,55,15,30,0,0.004951098291847362,0.004178955288959851,0.0062854311816078765
250,55,15,30,5000,0.0040053142352547534,0.0035894487289456554,0.00464133608003495
250,55,15,30,10000,0.0035774347011083103,0.003306482941274859,0.003878484376032347
250,55,15,60,0,0.004196009816886415,0.0037923028092045506,0.004994183446241134
250,55,15,60,5000,0.0036267125727584846,0.003387232718552877,0.004085118905866875
250,55,15,60,10000,0.0033168859146582015,0.0031646308951536416,0.0035900418704782376
250,55,15,90,0,0.0037811004771196957,0.003556614106520581,0.004173616078662272
250,55,15,90,5000,0.0033831887557291673,0.0032474449922353234,0.0036192475930775505
250,55,15,90,10000,0.0031596808634814537,0.0030737209440002233,0.0033077281394244284
250,55,15,120,0,0.003558225897110235,0.003414443820915854,0.0037837499794579426
250,55,15,120,5000,0.0032604088202698033,0.003170180445610527,0.0034026102412598263
250,55,15,120,10000,0.003071309300349539,0.0030170759347048714,0.0031557938777836986
250,55,25,30,0,0.004617483229463773,0.00401565727960451,0.005589311796061728
250,55,25,30,5000,0.0037463358712164115,0.003436408768594624,0.004205983349688636
250,55,25,30,10000,0.0032433644355640908,0.003103383060633104,0.003381430401036961
250,55,25,60,0,0.004006635326630815,0.0036891365014422527,0.004604855618611752
250,55,25,60,5000,0.0034428765317391077,0.0032703524452585802,0.0037549455488567985
250,55,25,60,10000,0.0031155103920443732,0.0030276725575735866,0.00326210630101354
250,55,25,90,0,0.003689869404202826,0.003499977524778962,0.004008218083014738
250,55,25,90,5000,0.0032648445045428986,0.0031623616549371516,0.003435634553585711
250,55,25,90,10000,0.003019289562335236,0.0029680729004042854,0.0031037705699628305
250,55,25,120,0,0.0035049912158330093,0.0033784179945741885,0.0036977924279919696
250,55,25,120,5000,0.0031575643577373856,0.0030913679638368227,0.0032579576753826497
250,55,25,120,10000,0.002962478334487828,0.002929664623699227,0.0030121993442798886
250,55,35,30,0,0.0043564404198343275,0.003878156062857908,0.005107946324490727
250,55,35,30,5000,0.00349947512981378,0.0032858029013275634,0.0037916784898704555
250,55,35,30,10000,0.002995842008520798,0.002939165461915361,0.003031427451783593
250,55,35,60,0,0.00389117713924497,0.0036225326465645015,0.004378879603469791
