# Decay-constant lookup table. Do not edit by hand.
# metadata: {"app_version": "v2.0.0", "evaluation_mode": "reversal_endpoint", "grid": {"dose_per_kg": [250, 300, 350, 400, 450, 500, 550, 600], "ibw": [40, 55, 70, 85, 100, 115], "prime": [0, 5000, 10000], "time_on_cpb": [30, 60, 90, 120], "time_to_cpb": [5, 15, 25, 35]}, "k_search_bounds": [0.001, 0.03], "lo_hi_meaning": "k recalibrated at time on CPB -/+ 2 SD; a scenario range, not an uncertainty interval", "model": "lanoiselee", "n_sim": 200, "population": "adult", "prime_timing": "lumped_t0", "seed": 20260912}
dose_per_kg,ibw,time_to_cpb,time_on_cpb,prime,mu,lo,hi
250,40,5,30,0,0.007346249647363108,0.007285274735344699,0.007392267661986352
250,40,5,30,5000,0.006987288881693888,0.0063344829798178464,0.007091277422224936
250,40,5,30,10000,0.006797314663855295,0.0055787967917703815,0.0070025904560835055
250,40,5,60,0,0.007283528204348167,0.007213195782524845,0.0073451617757745264
250,40,5,60,5000,0.00709582108231244,0.006983616818777619,0.00709582108231244
250,40,5,60,10000,0.00700525454209803,0.006815994328556908,0.0070270215590516
250,40,5,90,0,0.007216789510886235,0.0071404509507986035,0.007286483251968443
250,40,5,90,5000,0.007088202867875003,0.0070442660298046375,0.0070951983795828006
250,40,5,90,10000,0.007026952582127373,0.006999469804412611,0.007026952582127373
250,40,5,120,0,0.007137918742929827,0.007055366187582651,0.007214703118508726
250,40,5,120,5000,0.00704452550317188,0.006982279692599962,0.007088203811188623
250,40,5,120,10000,0.006990619698239139,0.00693838050955029,0.007018215666727906
250,40,15,30,0,0.007328184479896805,0.0072632537598680815,0.007379948947043558
250,40,15,30,5000,0.006452426797320979,0.00555115175107719,0.006751673008915743
250,40,15,30,10000,0.00601027520319776,0.00462853699087518,0.006507731132970395
250,40,15,60,0,0.007257271771741515,0.00718425370226666,0.007322939000562932
250,40,15,60,5000,0.006754258694893832,0.006441171778842098,0.006840725333085487
250,40,15,60,10000,0.006504512763127697,0.00601626387542351,0.006665326989773427
250,40,15,90,0,0.007191198510868389,0.0071128380579086724,0.007263287490357061
250,40,15,90,5000,0.006851497098659148,0.0067753754787215105,0.00685531196381998
250,40,15,90,10000,0.00668124829133287,0.006527172867609713,0.006727843124673422
250,40,15,120,0,0.007112026972584578,0.007027873833506144,0.0071903997251985124
250,40,15,120,5000,0.006865045036616272,0.006832930371277505,0.006865045036616272
250,40,15,120,10000,0.0067216503240313565,0.006678091084110125,0.0067216503240313565
250,40,25,30,0,0.0073054194372914735,0.007238334179900158,0.007357866697147346
250,40,25,30,5000,0.006116365939438986,0.005258932183920433,0.0064877546890432574
250,40,25,30,10000,0.00552751841907172,0.004212952497675949,0.006125025346168638
250,40,25,60,0,0.00723160773822764,0.007157088491423156,0.007298908312686223
250,40,25,60,5000,0.006472725806738025,0.006071934731933775,0.006618227339703858
250,40,25,60,10000,0.006099188252477137,0.0054733731648257304,0.006353441599118031
250,40,25,90,0,0.007163252217749574,0.007083128227305145,0.007237130044701775
250,40,25,90,5000,0.006620726040327818,0.00648295158217045,0.006664879727893522
250,40,25,90,10000,0.006370199646598131,0.006143754273291576,0.006468149767945634
250,40,25,120,0,0.007082034907441452,0.006995973659826845,0.007162478257310183
250,40,25,120,5000,0.0066703510753526735,0.006626967874062328,0.0066703510753526735
250,40,25,120,10000,0.006518881941677506,0.006424381198437528,0.0065474539648501286
250,40,35,30,0,0.007285099599487807,0.0072163188542709155,0.007338360690922743
250,40,35,30,5000,0.005849204455044323,0.0050533543637689676,0.006254760254176534
250,40,35,30,10000,0.005133313943126106,0.003930407174338814,0.005782558757891459
250,40,35,60,0,0.007212421407891499,0.007136036853195856,0.007282106979549964
250,40,35,60,5000,0.00621162738929592,0.005792105712050487,0.006395627649982836
250,40,35,60,10000,0.005791248564440375,0.005147512519167225,0.006087724325506378
250,40,35,90,0,0.007132068578812571,0.007049727856972007,0.007208399993898634
250,40,35,90,5000,0.006439702761708858,0.006268671805655899,0.006509410339852832
250,40,35,90,10000,0.006076206141830636,0.005774119387326791,0.006225987694912265
250,40,35,120,0,0.007055383366917597,0.006967737581872947,0.007137380781991985
250,40,35,120,5000,0.006511392064945874,0.006437320040036087,0.006529287612187921
250,40,35,120,10000,0.0062728847164235805,0.0061403401467805966,0.006331490637968142
250,55,5,30,0,0.007345246909736894,0.007283227597441614,0.007392264659637996
250,55,5,30,5000,0.007041863519962591,0.0065294433546025,0.007124130148892702
250,55,5,30,10000,0.006884734232044909,0.006042186105705602,0.007045306116082657
250,55,5,60,0,0.007281658968925288,0.007211187127775524,0.007343137026864041
250,55,5,60,5000,0.0071308494662782,0.007060719064190519,0.0071308494662782
250,55,5,60,10000,0.007041577365040056,0.00688202674316593,0.007051812195231433
250,55,5,90,0,0.007218696673590443,0.007142421374783337,0.007288457404697885
250,55,5,90,5000,0.007110608239769463,0.00705988224674472,0.007130868778766954
250,55,5,90,10000,0.0070559365351548315,0.00702255732241833,0.0070559365351548315
250,55,5,120,0,0.007140833498907202,0.007058550998974619,0.0072173115594595565
250,55,5,120,5000,0.007058577804844875,0.006993172082216993,0.007107408482138696
250,55,5,120,10000,0.0070235453835737136,0.006966535927942083,0.007058615773172252
250,55,15,30,0,0.00732611092754578,0.007261640996919535,0.007377192910305854
250,55,15,30,5000,0.006653147299772558,0.0059390562989757876,0.006864171764109937
250,55,15,30,10000,0.006250444238904623,0.004997661201968805,0.006640836864641498
250,55,15,60,0,0.0072577412250415235,0.007185132622313993,0.007322624101075585
250,55,15,60,5000,0.006871294277774786,0.006667205690753898,0.006915917110362926
250,55,15,60,10000,0.006625360532380133,0.006257453759920068,0.006741568649198005
250,55,15,90,0,0.0071848192072758105,0.007105988477287791,0.007257407088017921
250,55,15,90,5000,0.006905692919181105,0.006857529088424596,0.006905692919181105
250,55,15,90,10000,0.006751756388073374,0.006638216107052053,0.006777319586511773
250,55,15,120,0,0.007108161584987844,0.007023781314830194,0.00718683316704706
250,55,15,120,5000,0.006897274744531857,0.006856362101785181,0.006908018027354823
250,55,15,120,10000,0.006782736569770867,0.0067531772303394315,0.006782736569770867
250,55,25,30,0,0.00730501771235524,0.007238049622003654,0.00735639650660049
250,55,25,30,5000,0.006352143421067992,0.005658458574997571,0.006639685599799605
250,55,25,30,10000,0.005848458078060851,0.00477943557346266,0.006313832563079646
250,55,25,60,0,0.007231323042709601,0.007156708945570332,0.0072987597073348376
250,55,25,60,5000,0.0066309331840615745,0.006343895780966214,0.006727947506514441
250,55,25,60,10000,0.006267663948146949,0.00576599956776729,0.006467938638443166
250,55,25,90,0,0.0071598554183312305,0.007079305284183038,0.007234299974881884
250,55,25,90,5000,0.006718932571948318,0.006619173231624476,0.006740607881112818
250,55,25,90,10000,0.006503548421018783,0.006321360640705993,0.006574017564528309
250,55,25,120,0,0.0070849271788753065,0.006999107842519255,0.007165044355631245
250,55,25,120,5000,0.006741959093833116,0.006722193044409438,0.006741959093833116
250,55,25,120,10000,0.006578939730713122,0.0065063864197196335,0.006593677095767395
250,55,35,30,0,0.007284256648916803,0.00721520609811945,0.007336131694821358
250,55,35,30,5000,0.006150441177181808,0.005509122359596908,0.00646199468731406
250,55,35,30,10000,0.00551798280275343,0.004535070342898598,0.006029282287477772
250,55,35,60,0,0.007215675178958192,0.007139498981872131,0.007285094064645723
250,55,35,60,5000,0.006440052371039416,0.006128690152260043,0.006563889459689283
250,55,35,60,10000,0.006016194907631687,0.005512125585811925,0.006245159732921591
250,55,35,90,0,0.0071321542496189045,0.0070495900265219996,0.007208829093796524
250,55,35,90,5000,0.006577878826852189,0.006458493447567902,0.006616218677532281
250,55,35,90,10000,0.006272007790934205,0.0060409189125001025,0.006378557714408761
250,55,35,120,0,0.007056499354041159,0.00696888771750933,0.0071385068256367866
250,55,35,120,5000,0.006615495187191217,0.006577054038893036,0.006615495187191217
250,55,35,120,10000,0.006364964256698526,0.006255862760047785,0.006407329391227571
250,70,5,30,0,0.007343957823813086,0.007282473666175404,0.00739094062894576
250,70,5,30,5000,0.00710087804608016,0.006670208702295978,0.0071555544783255395
250,70,5,30,10000,0.006949759464611929,0.0061625684530569845,0.007078084756791714
250,70,5,60,0,0.007285003143932095,0.007214591002746963,0.007347156766191624
250,70,5,60,5000,0.007156367665415993,0.0071073006413431465,0.007156367665415993
250,70,5,60,10000,0.0070753502046084025,0.0069462571564460045,0.0070753502046084025
250,70,5,90,0,0.007215334042851029,0.007138950317573258,0.007285120039240941
250,70,5,90,5000,0.007132187608241794,0.007079067613862933,0.007156501370375032
250,70,5,90,10000,0.007075564739894115,0.007037224323535042,0.007075564739894115
250,70,5,120,0,0.007138223677268606,0.007055788635719945,0.007214827180015022
250,70,5,120,5000,0.007073587168556129,0.0070053829996483226,0.007126980437534224
250,70,5,120,10000,0.007038736736614636,0.006978515548849299,0.00707904823785726
250,70,15,30,0,0.007329362832206163,0.007264306670990927,0.007381036632929851
250,70,15,30,5000,0.006729165256432107,0.006136955521681307,0.006913472862947607
250,70,15,30,10000,0.006353093210089181,0.0053372817106599095,0.006701890131902191
250,70,15,60,0,0.007261799844615501,0.007189389383977525,0.0073264952143626445
250,70,15,60,5000,0.006914749059867534,0.006731166625537544,0.0069481790044568425
250,70,15,60,10000,0.006711568351153694,0.00638451994921331,0.006806485089629214
250,70,15,90,0,0.007186635472107703,0.007108087003162854,0.007258877977345397
250,70,15,90,5000,0.006958646303367706,0.006926960196859227,0.006958646303367706
250,70,15,90,10000,0.006810994967216303,0.006712755130721512,0.0068264647198664884
250,70,15,120,0,0.007109925394038239,0.007025415327279401,0.007188772330178317
250,70,15,120,5000,0.006931149176812149,0.006883864951964551,0.006951803905994381
250,70,15,120,10000,0.006820218933821626,0.006795631547104625,0.006820218933821626
250,70,25,30,0,0.0073079302260928986,0.007240875936104882,0.0073599555131514
250,70,25,30,5000,0.006522478280958294,0.0059624995303844555,0.006746469187245489
250,70,25,30,10000,0.00598008251072631,0.005051130003747732,0.006406882096197242
250,70,25,60,0,0.0072379562076776705,0.0071633973877132575,0.0073056174914138804
250,70,25,60,5000,0.006723613025097937,0.006481230191889911,0.006796255403571768
250,70,25,60,10000,0.006420874613039752,0.005998577331086061,0.006579769824023
250,70,25,90,0,0.007167414110049126,0.0070872458541176965,0.007241545173070291
250,70,25,90,5000,0.0067985448830677735,0.0067295145707783706,0.0068021497973065745
250,70,25,90,10000,0.0065727610592360005,0.0064175978085516125,0.006627319506239501
250,70,25,120,0,0.007078248223144605,0.00699185678569321,0.007158963897305496
250,70,25,120,5000,0.006786707350057993,0.00675750888641467,0.006786707350057993
250,70,25,120,10000,0.006641937220867203,0.0065872423367910726,0.006644704004924812
250,70,35,30,0,0.007280313783760494,0.007210324778789541,0.007334755175383122
250,70,35,30,5000,0.006292693912022504,0.005785711519666923,0.006558541057300339
250,70,35,30,10000,0.005661600754454525,0.004788993039062977,0.006135806327230105
250,70,35,60,0,0.007212802320705085,0.00713659734529046,0.007282190451010888
250,70,35,60,5000,0.006549701351550206,0.006285805121829685,0.0066468145031434315
250,70,35,60,10000,0.006160542993253461,0.005683446625608343,0.006365156333026145
250,70,35,90,0,0.0071419378581369965,0.0070602603690744625,0.0072175235314163744
250,70,35,90,5000,0.006660035377092841,0.006566110560876534,0.006682223182290695
250,70,35,90,10000,0.006376170609877465,0.006184466792553638,0.006458851214755103
250,70,35,120,0,0.007054925510221918,0.006967186868474892,0.007137075161071711
250,70,35,120,5000,0.006686361336930088,0.006665016654636875,0.006686361336930088
250,70,35,120,10000,0.006445666732045405,0.006361995558450791,0.00647108726873296
250,85,5,30,0,0.007342610488776588,0.0072811357166518605,0.007390457108099046
250,85,5,30,5000,0.007124431554036667,0.006706163017381815,0.007171334993235096
250,85,5,30,10000,0.007002467694005095,0.006341060954478791,0.007101330852691786
250,85,5,60,0,0.007282193686872084,0.0072115249728415065,0.0073444097870316956
250,85,5,60,5000,0.007176128438209649,0.007138928266177468,0.007176128438209649
250,85,5,60,10000,0.007096968134616886,0.006974910785584788,0.007096968134616886
250,85,5,90,0,0.00721386416523896,0.007137089367913213,0.007284289707232474
250,85,5,90,5000,0.007142594367340049,0.007085371847338703,0.007175107158861606
250,85,5,90,10000,0.007092862090524234,0.007046735418826803,0.007104326278085247
250,85,5,120,0,0.00713826210352689,0.007055818982006324,0.007214867635555802
250,85,5,120,5000,0.007083064755336781,0.007011743042320028,0.007141502351355617
250,85,5,120,10000,0.007046256197836764,0.006982815104410963,0.0070919571053975365
250,85,15,30,0,0.0073244923559838805,0.007259149069574931,0.00737667009681713
250,85,15,30,5000,0.006837000072610961,0.006350900014683678,0.0069752758171682
250,85,15,30,10000,0.006476001544046295,0.005605763391070722,0.00676634867364495
250,85,15,60,0,0.007260404164147679,0.007188026245460684,0.007325086332088155
250,85,15,60,5000,0.00696857410800406,0.006835840922194232,0.006982572144831855
250,85,15,60,10000,0.006785840824837152,0.006492994778027961,0.006861962594728981
250,85,15,90,0,0.007188725939313896,0.007110173065719227,0.007261092762298043
250,85,15,90,5000,0.0069982936713753165,0.0069683402744965765,0.0069982936713753165
250,85,15,90,10000,0.006860150848049631,0.006785890072899891,0.006862617154276008
250,85,15,120,0,0.007113953687276174,0.007029940651109406,0.007192212237877092
250,85,15,120,5000,0.006957012298966316,0.006904980980211281,0.006984957472800713
250,85,15,120,10000,0.006865373167865581,0.006831602602131922,0.006865373167865581
250,85,25,30,0,0.007301850123071943,0.007234307243582162,0.007355589069367246
250,85,25,30,5000,0.006626258321729629,0.006127412281162224,0.006808030352422262
250,85,25,30,10000,0.006147538173419216,0.005344023351733057,0.006513334162019571
250,85,25,60,0,0.007239686256836977,0.007165596559675423,0.007306525917164112
250,85,25,60,5000,0.006809735923476344,0.0066147644178814165,0.00685877226658207
250,85,25,60,10000,0.006514729953496548,0.006125067537695336,0.006653184362805078
250,85,25,90,0,0.007162414318570636,0.00708209216555983,0.007236594279257663
250,85,25,90,5000,0.006849708572601266,0.006797258385093097,0.006849708572601266
