# Decay-constant lookup table. Do not edit by hand.
# metadata: {"app_version": "v2.0.0", "evaluation_mode": "reversal_endpoint", "grid": {"dose_per_kg": [250, 300, 350, 400, 450, 500, 550, 600], "ibw": [40, 55, 70, 85, 100, 115], "prime": [0, 5000, 10000], "time_on_cpb": [30, 60, 90, 120], "time_to_cpb": [5, 15, 25, 35]}, "k_search_bounds": [0.001, 0.03], "lo_hi_meaning": "k recalibrated at time on CPB -/+ 2 SD; a scenario range, not an uncertainty interval", "model": "delavenne", "n_sim": 200, "population": "adult", "prime_timing": "lumped_t0", "seed": 20260912}
dose_per_kg,ibw,time_to_cpb,time_on_cpb,prime,mu,lo,hi
250,40,5,30,0,0.02438878346185344,0.01571448401303236,0.029999933971457452
250,40,5,30,5000,0.023272209303747567,0.015471347123314678,0.029999933971457452
250,40,5,30,10000,0.02393882504277657,0.015991739048920456,0.02724785669625933
250,40,5,60,0,0.015788373311038433,0.011514190638546173,0.024399959940210613
250,40,5,60,5000,0.015779999778029515,0.011569780392262119,0.023957619733334375
250,40,5,60,10000,0.0156555468639949,0.011481413096946433,0.02316627442563423
250,40,5,90,0,0.011475995637440548,0.009250947308203363,0.015628817898140735
250,40,5,90,5000,0.011674285850072562,0.009353473524268307,0.01598814522491543
250,40,5,90,10000,0.011698638381103672,0.009384423883198795,0.016001193339905843
250,40,5,120,0,0.009303207795832205,0.007912040476225806,0.011590498638734379
250,40,5,120,5000,0.00931681297045429,0.007928428129601942,0.01158906665715151
250,40,5,120,10000,0.009378176217131362,0.007981516096394648,0.0116581143600609
250,40,15,30,0,0.020798459592253224,0.014029783795193526,0.029999933971457452
250,40,15,30,5000,0.02028449239381465,0.014499397175197893,0.02310772072885043
250,40,15,30,10000,0.019014567184447734,0.013893828333284664,0.019406407269600932
250,40,15,60,0,0.013650034714642253,0.010411632291052,0.020070066296241775
250,40,15,60,5000,0.013662176731517015,0.010452718682487658,0.019109240216329055
250,40,15,60,10000,0.0138691788204996,0.010578886792036224,0.01892110188599955
250,40,15,90,0,0.010475983518625488,0.008624345643766912,0.01377653426143339
250,40,15,90,5000,0.01072871222347679,0.008789243322907913,0.014151063395196832
250,40,15,90,10000,0.010733006778882464,0.008798240617567014,0.014119899476770562
250,40,15,120,0,0.00874151887980443,0.007546320730335807,0.01062947162589138
250,40,15,120,5000,0.00864260521648561,0.007464226091927143,0.010501725882075489
250,40,15,120,10000,0.00859715580973839,0.007434598115737313,0.010420687798274347
250,40,25,30,0,0.0183269093447584,0.012821907189376897,0.02704244883338229
250,40,25,30,5000,0.01671157192896062,0.012490907483002304,0.017960781017734424
250,40,25,30,10000,0.01567143102427505,0.012218795628893673,0.01567143102427505
250,40,25,60,0,0.01263155121745381,0.00987619835548259,0.018017237226575573
250,40,25,60,5000,0.012874984412781286,0.010062408319712633,0.017111951246508654
250,40,25,60,10000,0.01198066202914271,0.009532706553430744,0.015475971126931932
250,40,25,90,0,0.009882856239412452,0.008290771500028068,0.012592296965269319
250,40,25,90,5000,0.009661617131709639,0.008126174428051301,0.012200590668383807
250,40,25,90,10000,0.009738531676578583,0.00816373189122678,0.01230517412188309
250,40,25,120,0,0.008348899784382928,0.007275589814747697,0.010004503981400029
250,40,25,120,5000,0.008237127877741278,0.007199863516629931,0.009815814908170866
250,40,25,120,10000,0.008237124872024363,0.007192960549099145,0.0098289908357905
250,40,35,30,0,0.01593932127287153,0.011605799612425942,0.022141160713157835
250,40,35,30,5000,0.014102251275387946,0.011070760869517048,0.014911725653729224
250,40,35,30,10000,0.013393061247783814,0.010909604749960349,0.013393061247783814
250,40,35,60,0,0.011575860775431372,0.009280736074108707,0.015855136603961074
250,40,35,60,5000,0.011306711404403844,0.009150053068012707,0.014431255653943677
250,40,35,60,10000,0.011002632041367697,0.008935302315438308,0.013608339883333756
250,40,35,90,0,0.009144313274418907,0.0077982837586605385,0.011346874525455214
250,40,35,90,5000,0.009213947532122102,0.007835083821100128,0.011409406979622179
250,40,35,90,10000,0.009047581437872041,0.007712051643972888,0.011137802041044937
250,40,35,120,0,0.007863777730041873,0.006945190974515099,0.009228610919681305
250,40,35,120,5000,0.00786680666405414,0.006938072453634574,0.009246304402449734
250,40,35,120,10000,0.007741092677211816,0.006836403346535866,0.009079131363025527
250,55,5,30,0,0.020376655118003496,0.01369672499737476,0.02946903379519026
250,55,5,30,5000,0.019010185781815635,0.01327464532126716,0.023956508966751135
250,55,5,30,10000,0.018560046191204476,0.012929294006326968,0.021644379035524384
250,55,5,60,0,0.013262275128957885,0.009960580238639686,0.019550757457235352
250,55,5,60,5000,0.013254429952152938,0.009992138968366822,0.019079401920821002
250,55,5,60,10000,0.0133558487040251,0.010039985616954406,0.01908887701797666
250,55,5,90,0,0.009978313997679579,0.008158598942011161,0.01329956240066727
250,55,5,90,5000,0.010019893872622336,0.008191050306611686,0.0133191788948719
250,55,5,90,10000,0.010033194023019897,0.008198033504320978,0.013318916467864702
250,55,5,120,0,0.008060435467237455,0.006973693388275048,0.009815376169789707
250,55,5,120,5000,0.008115313460451166,0.007007859917908277,0.0099105723222321
250,55,5,120,10000,0.008262746798921316,0.0071158064894382474,0.010127393968046808
250,55,15,30,0,0.01693140154979617,0.011872707576686568,0.02431366007201022
250,55,15,30,5000,0.016245676294441375,0.011905477771279125,0.01916555786517203
250,55,15,30,10000,0.015680319986411912,0.011926467619439576,0.01674619935956519
250,55,15,60,0,0.011938951750602398,0.009254202879158619,0.017077525275448643
250,55,15,60,5000,0.012005789982587948,0.009332745101108292,0.01634554117138609
250,55,15,60,10000,0.01185249925127043,0.00925030590331295,0.015709284638444843
250,55,15,90,0,0.009177921413261934,0.007677273545676093,0.011784026396590522
250,55,15,90,5000,0.009223174208806329,0.007710543543641843,0.01180518435742937
250,55,15,90,10000,0.009308213671189492,0.00775560368764712,0.01194401831933204
250,55,15,120,0,0.007629151439922659,0.006690662478763488,0.00909119857334026
250,55,15,120,5000,0.007617986932263851,0.006669364167893523,0.00910136529622232
250,55,15,120,10000,0.007575050280739126,0.006636818299788065,0.009037014206571225
250,55,25,30,0,0.014514130892438677,0.010660103535448967,0.020435478394858826
250,55,25,30,5000,0.01358903086395655,0.010493730680930301,0.015823086696264775
250,55,25,30,10000,0.013303287757424375,0.010462417703254198,0.013394901220380943
250,55,25,60,0,0.010800190226280692,0.008634169538971075,0.014827790748199322
250,55,25,60,5000,0.010509426702120283,0.00848122473430717,0.013577391324673442
