# Decay-constant lookup table. Do not edit by hand.
# metadata: {"app_version": "v2.0.0", "evaluation_mode": "reversal_endpoint", "grid": {"dose_per_kg": [250, 300, 350, 400, 450, 500, 550, 600], "ibw": [40, 55, 70, 85, 100, 115], "prime": [0, 5000, 10000], "time_on_cpb": [30, 60, 90, 120], "time_to_cpb": [5, 15, 25, 35]}, "k_search_bounds": [0.001, 0.03], "lo_hi_meaning": "k recalibrated at time on CPB -/+ 2 SD; a scenario range, not an uncertainty interval", "model": "jia", "n_sim": 200, "population": "adult", "prime_timing": "lumped_t0", "seed": 20260912}
dose_per_kg,ibw,time_to_cpb,time_on_cpb,prime,mu,lo,hi
250,40,5,30,0,0.0073994314339265385,0.007393519697710137,0.007403758895218266
250,40,5,30,5000,0.007028425978599616,0.006245047340697401,0.007199891516494068
250,40,5,30,10000,0.006854812005867052,0.005736002547520802,0.007102186579033924
250,40,5,60,0,0.007393175805742419,0.007385931269686102,0.007399112567387597
250,40,5,60,5000,0.0071962582996723005,0.007026696595471237,0.007252732412498245
250,40,5,60,10000,0.0070919700422567905,0.0068222801941427245,0.007183719144856494
250,40,5,90,0,0.007386208893782371,0.007377809390858033,0.007393343663485978
250,40,5,90,5000,0.007248672438022751,0.007186763669345532,0.007275135577368544
250,40,5,90,10000,0.00718711740801918,0.007100081405618754,0.007227349336595319
250,40,5,120,0,0.007378024196508725,0.007368268437033267,0.00738638518436295
250,40,5,120,5000,0.007278271645593248,0.007254185005660096,0.007288348338641536
250,40,5,120,10000,0.007229373591150796,0.00719065560925312,0.007248512686581697
250,40,15,30,0,0.007397800973140329,0.007391511119187441,0.007402532696214845
250,40,15,30,5000,0.0065248910091227135,0.005576452489394562,0.006869752680736242
250,40,15,30,10000,0.00611181566890216,0.00475682691418227,0.0066311364750174856
250,40,15,60,0,0.00739125397362029,0.007383730023563499,0.0073974981334868845
250,40,15,60,5000,0.0068709412668245045,0.006520429434035156,0.007014848227531269
250,40,15,60,10000,0.006595314789569292,0.006030266943830548,0.006824438933627851
250,40,15,90,0,0.007383920482258507,0.00737508167577435,0.0073914861733349515
250,40,15,90,5000,0.007003871443454908,0.006849876387623583,0.0070829772426077575
250,40,15,90,10000,0.006839390508681988,0.006623180327741711,0.006954060623286746
250,40,15,120,0,0.007375203770443516,0.007364944394760202,0.007383957407738574
250,40,15,120,5000,0.007090206896881317,0.007016347477425238,0.007132612605945893
250,40,15,120,10000,0.006949480477661568,0.006832002889580638,0.007019140098938919
250,40,25,30,0,0.007395524185036414,0.007388817475891119,0.007400470176851763
250,40,25,30,5000,0.00615936048657655,0.005269731408446896,0.006597303290620925
250,40,25,30,10000,0.005611343044647201,0.00424601245567364,0.00623869742933279
250,40,25,60,0,0.00738870349107432,0.007380754062463466,0.007395403994941138
250,40,25,60,5000,0.006633131053263022,0.0062229813459872205,0.006824447069374811
250,40,25,60,10000,0.006232680551712588,0.0055974120818317276,0.006532360751836226
250,40,25,90,0,0.0073800553380555375,0.007370619016043585,0.007388157647979619
250,40,25,90,5000,0.006798958184485681,0.006593313189246528,0.0069137175182056535
250,40,25,90,10000,0.006533953115845523,0.006232122004275827,0.006704828352279121
250,40,25,120,0,0.007370585387474027,0.0073595561973799585,0.007380027344119808
250,40,25,120,5000,0.006920520014913257,0.0068077043509281515,0.006989646136200176
250,40,25,120,10000,0.006707538606479674,0.006538621545373019,0.006813721094169103
250,40,35,30,0,0.007392964408664188,0.007385874338977361,0.007398157706239995
250,40,35,30,5000,0.00589973015479234,0.005062035403927342,0.0063774065503625875
250,40,35,30,10000,0.005258732148647226,0.004024549508607178,0.0059441170108358345
250,40,35,60,0,0.007386203557585009,0.007377808452356151,0.007393287022474025
250,40,35,60,5000,0.006401534628274321,0.005920749634710376,0.006640782462350704
250,40,35,60,10000,0.0058825836696660165,0.005166549484572342,0.006248053530443704
250,40,35,90,0,0.00737809818407206,0.007368374988539433,0.007386438900718197
250,40,35,90,5000,0.006638153010329386,0.006403787666549797,0.006776113657782524
250,40,35,90,10000,0.006272364052745608,0.0059156675114212945,0.0064841725551980705
250,40,35,120,0,0.007367733678989502,0.00735629046410586,0.007377542061711625
250,40,35,120,5000,0.0067723108984624955,0.0066352633069751655,0.006860239251018638
250,40,35,120,10000,0.006480525932075367,0.006269931773531322,0.006617876707529675
250,55,5,30,0,0.007399510779610775,0.007393671570754705,0.007403789903770546
250,55,5,30,5000,0.007083581393942548,0.006428906232142318,0.0072300173485470905
250,55,5,30,10000,0.006942681469702953,0.005983882568063535,0.0071509494085596715
250,55,5,60,0,0.007393857032756904,0.00738676057522089,0.007399616987674784
250,55,5,60,5000,0.007239785443692179,0.007112599609979381,0.007282168375666689
250,55,5,60,10000,0.007144461895054716,0.006926137385619491,0.0072177996236692825
250,55,5,90,0,0.007386515758253588,0.007378171152225991,0.007393628336146809
250,55,5,90,5000,0.007280945878368994,0.007238368713753805,0.007298249947291658
250,55,5,90,10000,0.007221356820055152,0.007146673923492193,0.007254416429422488
250,55,5,120,0,0.007377608218191458,0.007367783327942902,0.007386045498192058
250,55,5,120,5000,0.007297843257566656,0.007280856039956169,0.007303608397131916
250,55,5,120,10000,0.007252754624733114,0.0072204429605525955,0.007267818485882853
250,55,15,30,0,0.007397694841985738,0.00739143441358234,0.0074024492096969475
250,55,15,30,5000,0.0067026901299123386,0.005918350238349965,0.006976595651234514
250,55,15,30,10000,0.006327930952538132,0.0051690872183891125,0.006752730150037318
250,55,15,60,0,0.007391202474465936,0.007383655042026842,0.0073975365272723964
250,55,15,60,5000,0.006970664538481907,0.006687981876065261,0.007085970490841747
250,55,15,60,10000,0.006690595941185396,0.006188336366289802,0.00689449844016663
250,55,15,90,0,0.0073833166198876065,0.007374421736800606,0.007390895484466476
250,55,15,90,5000,0.007089681852524068,0.006976374738653091,0.0071475909086773926
250,55,15,90,10000,0.006912736656640369,0.0067292845665300055,0.007009946443905961
250,55,15,120,0,0.00737463091462172,0.007364264166540805,0.0073834981242760795
250,55,15,120,5000,0.007146056237680962,0.0070891262924831075,0.007177731798837294
250,55,15,120,10000,0.007018126892791395,0.006924376139860486,0.007073417345649528
250,55,25,30,0,0.0073954858089259655,0.0073887539747442355,0.007400581647094954
250,55,25,30,5000,0.006424169129510826,0.005690894380710126,0.00676969575385071
250,55,25,30,10000,0.005839217459291337,0.004742651400926045,0.00639486861196136
250,55,25,60,0,0.007389059923457666,0.007381184837569111,0.0073956825058932784
250,55,25,60,5000,0.006755326094567783,0.006397914840401984,0.006917844879196408
250,55,25,60,10000,0.006421462747746071,0.005893772055526952,0.00667121371267606
250,55,25,90,0,0.007380860713602175,0.007371544378424725,0.0073888367382186635
250,55,25,90,5000,0.006925626324792947,0.006767152903704586,0.0070131683025349304
250,55,25,90,10000,0.006663810881712201,0.006409708460585828,0.006806949979316076
250,55,25,120,0,0.007371545466739724,0.007360671786352938,0.007380819972920462
250,55,25,120,5000,0.007006893284013039,0.006917134756521732,0.0070608534464007945
250,55,25,120,10000,0.006801166433548018,0.006659256319733327,0.006889976345082211
250,55,35,30,0,0.007393286681606211,0.007386211559866714,0.007398495634016758
250,55,35,30,5000,0.006181788900858009,0.005493088647903604,0.006566977982828431
250,55,35,30,10000,0.005571145391719954,0.004609483650223173,0.006133510582712145
250,55,35,60,0,0.007386062387062082,0.007377697885896202,0.007393166925797607
250,55,35,60,5000,0.006563508081191129,0.006177386620496254,0.0067599616337091824
250,55,35,60,10000,0.006148182696126404,0.005581488348538327,0.006440514334053338
250,55,35,90,0,0.007377867922278244,0.007368133102128452,0.007386244872759581
250,55,35,90,5000,0.006766152989528992,0.006579317121601604,0.006876362251709532
250,55,35,90,10000,0.006438910502228735,0.006135336170664044,0.006618100638189702
250,55,35,120,0,0.007368798106995378,0.007357522092076868,0.007378483130950321
250,55,35,120,5000,0.006884487352583448,0.006772171779935482,0.006955126129167271
250,55,35,120,10000,0.006635785460495472,0.006464984356083346,0.0067465454920777
250,70,5,30,0,0.007399669089236241,0.007393928055679671,0.0074037163974459965
250,70,5,30,5000,0.00714912377773965,0.006643648516041954,0.007259237729540719
250,70,5,30,10000,0.007013783316738131,0.0062825009876551355,0.007185747844572018
250,70,5,60,0,0.007393544084053153,0.007386389455229032,0.007399368956655764
250,70,5,60,5000,0.007264096810947555,0.007154009595928609,0.007298775031608217
250,70,5,60,10000,0.007177215477985127,0.006981099463446916,0.0072409141450229
250,70,5,90,0,0.0073866637283217075,0.007378318348946704,0.007393734642597923
250,70,5,90,5000,0.0072944673055449615,0.007257640797705531,0.007308676000228558
250,70,5,90,10000,0.007246574027284947,0.007189396692500449,0.007271717911607499
250,70,5,120,0,0.007378420343195465,0.007368710350985195,0.007386731087667363
250,70,5,120,5000,0.0073109899099872136,0.00729801723376118,0.007314303944510591
250,70,5,120,10000,0.007268562368704887,0.007240907845625887,0.007280696446353364
250,70,15,30,0,0.007397562273918641,0.007391187499988779,0.007402373418483211
250,70,15,30,5000,0.0068050117070062215,0.006183989230245121,0.007035795794491052
250,70,15,30,10000,0.006476206027967339,0.005471081122653777,0.006839532109283198
250,70,15,60,0,0.007391210014271906,0.007383677687904983,0.007397494753627313
250,70,15,60,5000,0.007054279861649975,0.00683376083162699,0.007143943088384263
250,70,15,60,10000,0.0068220474947099635,0.006444747834262641,0.0069795320065525425
250,70,15,90,0,0.007383282463867432,0.007374394265834708,0.007390884329564541
250,70,15,90,5000,0.007137159921739147,0.0070441346655568,0.007184011425676627
250,70,15,90,10000,0.006977375633518993,0.006813619984320225,0.007062127439987623
250,70,15,120,0,0.007375156997213093,0.007364946326780605,0.007383935008022462
250,70,15,120,5000,0.007186072640972698,0.007138331488746229,0.007211542672727125
250,70,15,120,10000,0.007064686134203349,0.006980305193613404,0.007113186793964029
250,70,25,30,0,0.007395470122889649,0.00738876948071401,0.007400521364137226
250,70,25,30,5000,0.006551916759351376,0.005934010988725215,0.006855859208399909
250,70,25,30,10000,0.006091037389581224,0.005115551999269356,0.0065503776873037396
250,70,25,60,0,0.007388614950476408,0.007380629875319217,0.007395358064860265
250,70,25,60,5000,0.006865854166989421,0.006592602787942833,0.006994284099881188
250,70,25,60,10000,0.006530970411301975,0.00604780378511214,0.006754403987649916
250,70,25,90,0,0.007381228971149293,0.007372029407909893,0.007389088986137333
250,70,25,90,5000,0.006999105478185396,0.006868171759399359,0.007070723323313645
250,70,25,90,10000,0.006751646946807586,0.006529594049702163,0.006876143603068007
250,70,25,120,0,0.007371898945653919,0.007361100803394171,0.00738117986474004
250,70,25,120,5000,0.007060186098927269,0.006985267761839933,0.007104515415641947
250,70,25,120,10000,0.006872521997048872,0.006747438578716172,0.0069498631632393705
250,70,35,30,0,0.0073933672695933065,0.007386314167383274,0.007398524546092051
250,70,35,30,5000,0.006379199656145425,0.00579433806492884,0.0066986354971466525
250,70,35,30,10000,0.005787359632394622,0.00489546545011561,0.006289144694127379
250,70,35,60,0,0.0073864680268597455,0.0073781209101833395,0.007393565101363472
250,70,35,60,5000,0.006725462917174335,0.006418078695610558,0.006879207897152534
250,70,35,60,10000,0.0063176685211378215,0.005817476666501217,0.006573604367542868
250,70,35,90,0,0.007377840618977939,0.0073680497348932944,0.007386189094113545
250,70,35,90,5000,0.0068730943109588894,0.0067174134681391535,0.006963480837865657
250,70,35,90,10000,0.006542826822665183,0.006284764145220718,0.0066968173182305624
250,70,35,120,0,0.007368650432580361,0.0073573299962009335,0.007378375014190246
250,70,35,120,5000,0.0069619193690578845,0.006871585093112988,0.007018236216289672
250,70,35,120,10000,0.006723513635312708,0.006573643464667619,0.006819954182308044
250,85,5,30,0,0.007399545124014391,0.007393706561664383,0.007403762034526728
250,85,5,30,5000,0.00718926326229167,0.006778971525243814,0.007282077687436246
250,85,5,30,10000,0.007018432525146835,0.006252186816749353,0.007197606643672378
250,85,5,60,0,0.007393366526624627,0.007386181691118282,0.007399248732482491
250,85,5,60,5000,0.007281884732500404,0.007191177993267199,0.007310230784603053
250,85,5,60,10000,0.007202799854166351,0.007031079933939399,0.007258308347876263
250,85,5,90,0,0.007386495780575862,0.007378114034713933,0.0073936370075722135
250,85,5,90,5000,0.007306732335548824,0.007273647113019837,0.007318624448307298
250,85,5,90,10000,0.00725698561529538,0.007201689711418862,0.007280581897871525
250,85,5,120,0,0.00737849960021109,0.00736878411148331,0.007386825789306571
250,85,5,120,5000,0.007320914368882953,0.007311145766655466,0.00732221894464107
250,85,5,120,10000,0.007281644197133579,0.007257981324423531,0.00729132710523598
250,85,15,30,0,0.007397342426997925,0.007390953471947357,0.007402242420718369
250,85,15,30,5000,0.006909778613638932,0.006392167499696734,0.007096748847176819
250,85,15,30,10000,0.006522430445360855,0.005580263686331597,0.006877602887234996
250,85,15,60,0,0.0073911192236086175,0.007383545555166404,0.007397486020916115
250,85,15,60,5000,0.007089603677973067,0.006883149818722412,0.007171168149095706
250,85,15,60,10000,0.006893245247223062,0.006548258577986305,0.00703312873122836
250,85,15,90,0,0.007383465838227542,0.0073745982479335725,0.007391048381683551
250,85,15,90,5000,0.0071709242070249245,0.00709188863869809,0.00721006354683517
250,85,15,90,10000,0.007030698033521067,0.006892751597667039,0.007102073772611574
250,85,15,120,0,0.00737528988334108,0.007365062822523689,0.007384043143804529
250,85,15,120,5000,0.00721125776683744,0.007171931123317363,0.007231516882164558
