model,prime_timing,k,half_life_min,pct_change_vs_lumped
delavenne,lumped_t0,0.010440327206255472,66.39132728949684,0.0
delavenne,cpb_onset,0.010805568677979766,64.14721901425531,3.498371885370165
jia,lumped_t0,0.007149554242758593,96.94970581725393,0.0
jia,cpb_onset,0.007391593648784377,93.77506577001029,3.3853775747059
lanoiselee,lumped_t0,0.007026586463341766,98.64636038795604,0.0
lanoiselee,cpb_onset,0.007264214508107631,95.41942625542235,3.381841894433224
meesters,lumped_t0,0.003849420889789592,180.06531382382363,0.0
meesters,cpb_onset,0.00397556279159631,174.3519639597053,3.2769059403533642
prodose,lumped_t0,0.00548681311454159,126.32965003362541,0.0
prodose,cpb_onset,0.0056695170723640295,122.25859305348601,3.3298738996271444
