evaluation,model,population,n_nodes,k,bias_iu,loa_low_iu,loa_high_iu,mean_abs_pct_error,max_abs_pct_error,max_abs_error_iu,worst_node_dose_per_kg,worst_node_ibw,worst_node_prime,worst_node_time_to_cpb,worst_node_time_on_cpb,pct_within_threshold_iu
full_range,delavenne,adult,2304,0.010463690547838706,2638.86131568593,-6539.868780444187,11817.591411816047,24.346592740164958,67.43301461824055,18987.19580849366,600.0,115.0,10000.0,35.0,120.0,16.319444444444446
full_range,jia,paediatric,675,0.007164568208057913,-0.4134638844539128,-168.80905971756533,167.98213194865752,2.4464284487047165,11.867352833613783,308.71780154586804,300.0,3.0,2500.0,25.0,30.0,100.0
full_range,lanoiselee,adult,2304,0.007030324936405744,94.68885068639425,-749.8736442028938,939.2513455756824,1.8563958901334507,11.37534873423601,1579.5929021570282,250.0,40.0,10000.0,35.0,30.0,96.05034722222221
full_range,meesters,adult,2304,0.0038579698605798007,466.47872500042155,-1780.0300086746906,2712.9874586755336,3.8984653314134494,15.57171849173185,4137.2283395211125,600.0,115.0,10000.0,35.0,120.0,57.986111111111114
full_range,prodose,adult,2304,0.005495688622151766,930.1642132307329,-3923.496691300295,5783.82511776176,8.793776809974892,29.66081172434011,11239.91851789783,600.0,115.0,10000.0,35.0,120.0,35.19965277777778
full_range,prodose-2,adult,2304,0.00419150511601981,676.9905505390719,-3194.0735398483844,4548.054640926528,6.333639779378716,25.565630922612623,8051.81287726303,600.0,115.0,10000.0,35.0,120.0,41.05902777777778
boundary,delavenne,adult,32,0.010463690547838706,2460.7339758352514,-10758.22802864488,15679.695980315384,32.872282981653115,67.43301461824055,18987.19580849366,600.0,115.0,10000.0,35.0,120.0,9.375
boundary,jia,paediatric,32,0.007164568208057913,-3.7175127657378617,-235.4672510580168,228.03222552654108,3.0047876026416755,11.867352833613783,308.71780154586804,300.0,3.0,2500.0,25.0,30.0,100.0
boundary,lanoiselee,adult,32,0.007030324936405744,139.53009584938553,-1039.151680924982,1318.2118726237532,2.304327179544677,11.37534873423601,1579.5929021570282,250.0,40.0,10000.0,35.0,30.0,90.625
boundary,meesters,adult,32,0.0038579698605798007,414.71018949647623,-2763.619859163537,3593.0402381564895,5.273313897326142,15.57171849173185,4137.2283395211125,600.0,115.0,10000.0,35.0,120.0,46.875
boundary,prodose,adult,32,0.005495688622151766,1013.7143470552325,-6646.598703488578,8674.027397599044,14.626641365634985,29.66081172434011,11239.91851789783,600.0,115.0,10000.0,35.0,120.0,28.125
boundary,prodose-2,adult,32,0.00419150511601981,710.1707566835443,-5269.343185021538,6689.684698388626,9.433069770639031,25.565630922612623,8051.81287726303,600.0,115.0,10000.0,35.0,120.0,34.375
