model,parameter,direction,variation,modified_value,k,k_base,pct_change,seed
delavenne,ibw_mean,low,0.2,56.0,0.01188401630414352,0.010319863941884066,15.156714963180919,1394202095
delavenne,ibw_mean,high,0.2,84.0,0.00956358467753191,0.010319863941884066,-7.328384062145722,342851425
delavenne,ibw_sd,low,0.2,8.0,0.010489540417840353,0.010319863941884066,1.64417357546392,3752153093
delavenne,ibw_sd,high,0.2,12.0,0.010428505915442837,0.010319863941884066,1.0527461812537904,4106781289
delavenne,t_to_mean,low,0.2,12.0,0.010776960647401898,0.010319863941884066,4.429290038046582,636234910
delavenne,t_to_mean,high,0.2,18.0,0.010093082031530348,0.010319863941884066,-2.1975281033822953,3485995073
delavenne,t_to_sd,low,0.2,3.0,0.010484707410752065,0.010319863941884066,1.5973414939994315,237588359
delavenne,t_to_sd,high,0.2,4.5,0.010486101306709397,0.010319863941884066,1.610848415846281,2347863996
delavenne,t_on_mean,low,0.2,48.0,0.011811327940778623,0.010319863941884066,14.452361070782349,3751745613
delavenne,t_on_mean,high,0.2,72.0,0.009432096624120504,0.010319863941884066,-8.602509904810669,1040296747
delavenne,t_on_sd,low,0.2,12.0,0.010461512601021482,0.010319863941884066,1.3725826225530218,12524984
delavenne,t_on_sd,high,0.2,18.0,0.010479231225479224,0.010319863941884066,1.5442769836175099,2843607592
jia,ibw_mean,low,0.2,56.0,0.007104271446305669,0.0071556254769970925,-0.7176735403006924,1394202095
jia,ibw_mean,high,0.2,84.0,0.007184374588723125,0.0071556254769970925,0.4017693745774058,342851425
jia,ibw_sd,low,0.2,8.0,0.007152516875255027,0.0071556254769970925,-0.04344276754085199,3752153093
jia,ibw_sd,high,0.2,12.0,0.007148888736293147,0.0071556254769970925,-0.09414607745474948,4106781289
jia,t_to_mean,low,0.2,12.0,0.0071966423769234756,0.0071556254769970925,0.5732119443399945,636234910
jia,t_to_mean,high,0.2,18.0,0.007116053082381582,0.0071556254769970925,-0.5530249555782664,3485995073
jia,t_to_sd,low,0.2,3.0,0.00715336407651294,0.0071556254769970925,-0.03160311410123894,237588359
jia,t_to_sd,high,0.2,4.5,0.007149936447296574,0.0071556254769970925,-0.07950429656788142,2347863996
jia,t_on_mean,low,0.2,48.0,0.007105303066110159,0.0071556254769970925,-0.7032566342202043,3751745613
jia,t_on_mean,high,0.2,72.0,0.007180876946338401,0.0071556254769970925,0.35288975677225354,1040296747
jia,t_on_sd,low,0.2,12.0,0.007153578308344573,0.0071556254769970925,-0.028609220243578516,12524984
jia,t_on_sd,high,0.2,18.0,0.007147966726593092,0.0071556254769970925,-0.1070311802737744,2843607592
lanoiselee,ibw_mean,low,0.2,56.0,0.006984768821093115,0.007031497322688577,-0.664559758057255,1394202095
lanoiselee,ibw_mean,high,0.2,84.0,0.007062103987340357,0.007031497322688577,0.4352794752978403,342851425
lanoiselee,ibw_sd,low,0.2,8.0,0.007030904520383551,0.007031497322688577,-0.008430669568958177,3752153093
lanoiselee,ibw_sd,high,0.2,12.0,0.007027268887514093,0.007031497322688577,-0.060135629446086164,4106781289
lanoiselee,t_to_mean,low,0.2,12.0,0.0070789706235776665,0.007031497322688577,0.6751520865393409,636234910
lanoiselee,t_to_mean,high,0.2,18.0,0.006989989553924447,0.007031497322688577,-0.5903119472177837,3485995073
lanoiselee,t_to_sd,low,0.2,3.0,0.007032770731213981,0.007031497322688577,0.018110062010478396,237588359
lanoiselee,t_to_sd,high,0.2,4.5,0.007027566355855176,0.007031497322688577,-0.055905117402472296,2347863996
lanoiselee,t_on_mean,low,0.2,48.0,0.007007980570067373,0.007031497322688577,-0.3344487175629277,3751745613
lanoiselee,t_on_mean,high,0.2,72.0,0.007034022217177676,0.007031497322688577,0.03590834744332893,1040296747
lanoiselee,t_on_sd,low,0.2,12.0,0.007034049358679577,0.007031497322688577,0.03629434633738284,12524984
lanoiselee,t_on_sd,high,0.2,18.0,0.007026110038163756,0.007031497322688577,-0.0766164627189306,2843607592
meesters,ibw_mean,low,0.2,56.0,0.0037987807475241076,0.0038446493620236354,-1.1930506576907909,1394202095
meesters,ibw_mean,high,0.2,84.0,0.003908158565126926,0.0038446493620236354,1.6518854418979518,342851425
meesters,ibw_sd,low,0.2,8.0,0.0038621592393887115,0.0038446493620236354,0.4554349621069172,3752153093
meesters,ibw_sd,high,0.2,12.0,0.0038559956788615382,0.0038446493620236354,0.29511967853242,4106781289
meesters,t_to_mean,low,0.2,12.0,0.003921150451423294,0.0038446493620236354,1.9898066688555418,636234910
meesters,t_to_mean,high,0.2,18.0,0.00380555877733136,0.0038446493620236354,-1.0167529210440143,3485995073
meesters,t_to_sd,low,0.2,3.0,0.0038691331375737673,0.0038446493620236354,0.6368272693987606,237588359
meesters,t_to_sd,high,0.2,4.5,0.0038557680243840662,0.0038446493620236354,0.2891983458948925,2347863996
meesters,t_on_mean,low,0.2,48.0,0.004052025242823353,0.0038446493620236354,5.393882803673036,3751745613
meesters,t_on_mean,high,0.2,72.0,0.003712154294392211,0.0038446493620236354,-3.446219801997372,1040296747
meesters,t_on_sd,low,0.2,12.0,0.0038642132649419686,0.0038446493620236354,0.5088605247484967,12524984
meesters,t_on_sd,high,0.2,18.0,0.003866709991011112,0.0038446493620236354,0.5738008049676866,2843607592
prodose,ibw_mean,low,0.2,56.0,0.005424862436401908,0.0054833716111240835,-1.0670291724069683,1394202095
prodose,ibw_mean,high,0.2,84.0,0.005554064577298152,0.0054833716111240835,1.2892244259107681,342851425
prodose,ibw_sd,low,0.2,8.0,0.005500179927971253,0.0054833716111240835,0.3065325139202736,3752153093
prodose,ibw_sd,high,0.2,12.0,0.005492673688304805,0.0054833716111240835,0.16964156071147982,4106781289
prodose,t_to_mean,low,0.2,12.0,0.005570153285108803,0.0054833716111240835,1.5826334623877454,636234910
prodose,t_to_mean,high,0.2,18.0,0.0054341257023671746,0.0054833716111240835,-0.8980954100758755,3485995073
prodose,t_to_sd,low,0.2,3.0,0.005507074639578619,0.0054833716111240835,0.4322710575816041,237588359
prodose,t_to_sd,high,0.2,4.5,0.005493561877890528,0.0054833716111240835,0.18583943400391228,2347863996
prodose,t_on_mean,low,0.2,48.0,0.005677672669431333,0.0054833716111240835,3.543459610015711,3751745613
prodose,t_on_mean,high,0.2,72.0,0.005357282198857438,0.0054833716111240835,-2.2994869071220467,1040296747
prodose,t_on_sd,low,0.2,12.0,0.005500384333783638,0.0054833716111240835,0.31026025347326924,12524984
prodose,t_on_sd,high,0.2,18.0,0.005504914792623772,0.0054833716111240835,0.39288202637923997,2843607592
