model,k,n_scenarios,mean_abs_diff_iu,mean_abs_pct_error,worst_abs_diff_iu,worst_abs_pct_error,worst_case_scenario,worst_case_time_min
delavenne,0.010463690547838706,18,5193.889029330561,35.26704695529958,11618.589082868832,72.12641615727547,3 x 10000 IU at 45/90/135 min,240.0
meesters,0.0038579698605798007,18,1507.6646458922826,6.506865640858367,3482.153541294254,16.026837365211104,3 x 10000 IU at 45/90/135 min,240.0
prodose,0.005495688622151766,18,1037.517274968904,5.913193183756596,2217.1682766582417,15.239715196463983,3 x 10000 IU at 45/90/135 min,240.0
lanoiselee,0.007030324936405744,18,153.38811060240562,1.3336522999643252,523.5037111381571,6.598154966414182,10000 IU at 30 min,240.0
jia,0.007152151887964866,18,208.70594135967647,1.5581081149154117,495.455535089106,3.0222485508960033,3 x 10000 IU at 45/90/135 min,203.4375
