stratified_by,stratum,stratum_low,stratum_high,n,bias_iu,sd_iu,loa_low_iu,loa_high_iu,mean_pct_error,mean_abs_pct_error,max_abs_error_iu,pct_within_threshold_iu,model
elapsed_time_min,28.77 to 64.48,28.76603937056002,64.47773603746047,250,-2248.4770056562265,1127.150836132563,-4457.69264447605,-39.26136683640334,-15.209735149555403,15.277168884555108,4978.175974635942,13.200000000000001,delavenne
elapsed_time_min,64.48 to 75.43,64.47773603746047,75.4341041408175,250,-505.8058750505961,890.1423268812797,-2250.484835737904,1238.8730856367122,-4.494655133945764,6.183703171677085,2888.667648017259,67.60000000000001,delavenne
elapsed_time_min,75.43 to 85.69,75.4341041408175,85.68644237781925,250,617.541889640717,945.3595150710971,-1235.3627598986334,2470.4465391800677,3.2055979152040717,5.902539686559361,3850.20974790338,63.2,delavenne
elapsed_time_min,85.69 to 116.8,85.68644237781925,116.81673908343436,250,2085.37006651588,1127.1221318335843,-123.78931187794524,4294.5294449097055,13.894133275839643,13.956897837524764,5525.7031409459905,17.2,delavenne
residual_load_iu,6007 to 1.312e+04,6006.908683451427,13123.049922994911,250,-697.8750170157025,1633.022460565927,-3898.5990397249197,2502.8490056935143,-6.645899789156671,12.59011548864149,4978.175974635942,44.4,delavenne
residual_load_iu,1.312e+04 to 1.511e+04,13123.049922994911,15112.84759604934,250,165.03012319373997,1677.5460461269943,-3122.9601272151685,3453.0203736026488,1.148208354408616,9.74049430050762,4327.827665716633,44.0,delavenne
residual_load_iu,1.511e+04 to 1.711e+04,15112.84759604934,17111.108441323762,250,273.386327872388,1855.4384369646666,-3363.2730085783587,3910.0456643231346,1.6740312406074886,9.477016933364368,4316.606353402565,39.6,delavenne
residual_load_iu,1.711e+04 to 2.591e+04,17111.108441323762,25912.16787458052,250,208.08764139934897,2179.553735052037,-4063.8376793026437,4480.012962101342,1.2190011016831162,9.51268285780284,5525.7031409459905,33.2,delavenne
time_on_cpb_min,15.63 to 49.14,15.627724082266901,49.14352164114939,250,-2160.3663336666914,1185.7443829858832,-4484.425324319022,163.6926569856396,-14.521770026516155,14.58087874560838,4978.175974635942,18.0,delavenne
time_on_cpb_min,49.14 to 60.17,49.14352164114939,60.17171432776622,250,-592.1996737289194,982.8171619407389,-2518.5213111327676,1334.1219636749288,-5.205937781350249,6.9888413294777525,2956.709883569063,61.6,delavenne
