model,institution,population,spec,k_transported,k_recalibrated,k_pct_difference,bias_transported_iu,bias_recalibrated_iu,mape_transported,mape_recalibrated,loa_width_transported_iu,loa_width_recalibrated_iu
meesters,heavier_population,adult,"heavier_population: 400 IU/kg, prime 5000 IU, IBW 95+/-15 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.0038579698605798007,0.003932614965457011,1.9348286164680513,-177.45139939054783,-0.013896117492447957,1.3596900016966569,1.3955634345357961,2082.078926178466,2165.206499162271
meesters,lighter_population,adult,"lighter_population: 400 IU/kg, prime 5000 IU, IBW 55+/-8 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.0038579698605798007,0.0037900696302467112,-1.7599989835816134,101.95432416957729,0.02421005839118152,1.4139672404612837,1.2689960918406664,1295.0190644639479,1246.8592223269288
meesters,long_bypass,adult,"long_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 110+/-25 min [adult]",0.0038579698605798007,0.0034357832132177477,-10.943233426364925,1086.722827330919,-0.031622556451642594,5.309059340066174,1.3727377719840623,1923.3491620249656,1448.9599178490544
meesters,short_bypass,adult,"short_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 35+/-10 min [adult]",0.0038579698605798007,0.004334447940552365,12.35048735971608,-633.4795300401269,0.010447596635436639,2.329451051172434,1.1879328739763915,1220.1610776304283,1513.34971784366
meesters,high_dose,adult,"high_dose: 550 IU/kg, prime 10000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.0038579698605798007,0.0037469194800074006,-2.878466773602807,299.9448944530722,-0.025528931976576134,1.5288875040178174,1.2316958862827203,2321.951600234904,2180.1161862557665
meesters,low_dose_no_prime,adult,"low_dose_no_prime: 300 IU/kg, prime 0 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.0038579698605798007,0.0041767412045642,8.26267066628904,-366.61772148601,-0.025680715605236402,2.4106702940074993,1.6192831716009075,1027.7239168652168,1213.2951796810216
meesters,slow_start,adult,"slow_start: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 35+/-8 min, time on CPB 60+/-15 min [adult]",0.0038579698605798007,0.003535696940299936,-8.35343281379164,702.7832001847873,-0.010453596252051283,3.2291735743169085,1.2463224187771347,1711.9451089412887,1440.0065629194492
meesters,wide_case_mix,adult,"wide_case_mix: 400 IU/kg, prime 5000 IU, IBW 75+/-20 kg, time to CPB 20+/-10 min, time on CPB 75+/-35 min [adult]",0.0038579698605798007,0.0036356762971154837,-5.7619310543527495,494.96596320391865,0.029284266375019796,3.5404946684986096,2.4751277155657525,3318.4548414791093,2877.2837391410376
prodose,heavier_population,adult,"heavier_population: 400 IU/kg, prime 5000 IU, IBW 95+/-15 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.005495688622151766,0.005584173546926547,1.6100789338413375,-185.38015253175317,-0.031695329426727765,1.340664458653411,1.3754065429887827,1819.7528051961401,1885.7523198054084
prodose,lighter_population,adult,"lighter_population: 400 IU/kg, prime 5000 IU, IBW 55+/-8 kg, time to CPB 15+/-3.75 min, time on CPB 60+/-15 min [adult]",0.005495688622151766,0.00541482978579405,-1.4713140047963085,107.04656155349126,-0.022104815935481383,1.4399559036036216,1.2460254982387358,1123.1816114603755,1085.0632899542147
prodose,long_bypass,adult,"long_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 110+/-25 min [adult]",0.005495688622151766,0.005098692650317441,-7.223771198283188,828.5385198192424,0.009977874698104643,5.079604271221866,1.3567253098792662,1399.4765403663787,1172.4787686507227
prodose,short_bypass,adult,"short_bypass: 400 IU/kg, prime 5000 IU, IBW 70+/-10 kg, time to CPB 15+/-3.75 min, time on CPB 35+/-10 min [adult]",0.005495688622151766,0.005937674136726617,8.042404600459287,-540.5075207895406,-0.009087527191752088,2.136357249822204,1.1582181576779886,1157.6502921716874,1361.7012537361736
